2025-03-17 17:50:03,984 - gmail_import - INFO - Connecting to MotherDuck database: md:dewey
2025-03-17 17:50:05,099 - gmail_import - INFO - Successfully connected to MotherDuck
2025-03-17 17:50:05,957 - gmail_import - WARNING - Failed to create index: Binder Error: Table "email_analyses" does not have a column named "thread_id"

Candidate bindings: : "id"
2025-03-17 17:50:06,369 - gmail_import - WARNING - Failed to create index: Binder Error: Table "email_analyses" does not have a column named "internal_date"

Candidate bindings: : "analysis_date"
2025-03-17 17:50:06,638 - gmail_import - WARNING - Failed to create index: Binder Error: Table "email_analyses" does not have a column named "status"

Candidate bindings: : "id"
2025-03-17 17:50:06,932 - gmail_import - WARNING - Failed to create index: Binder Error: Table "email_analyses" does not have a column named "batch_id"

Candidate bindings: : "id"
2025-03-17 17:50:07,200 - gmail_import - WARNING - Failed to create index: Binder Error: Table "email_analyses" does not have a column named "import_timestamp"

Candidate bindings: : "scores"
2025-03-17 17:50:07,201 - gmail_import - INFO - Connected to database at md:dewey
2025-03-17 17:50:07,201 - gmail_import - INFO - Using token from /Users/srvo/dewey/token.json
2025-03-17 17:50:07,213 - gmail_import - INFO - Refreshing expired credentials
2025-03-17 17:50:07,456 - gmail_import - INFO - Importing all historical emails
2025-03-17 17:50:07,456 - gmail_import - INFO - Including sent emails
2025-03-17 17:50:53,582 - gmail_import - INFO - Fetched 500 messages, total: 30500
2025-03-17 17:50:54,334 - gmail_import - INFO - Fetched 500 messages, total: 31000
2025-03-17 17:50:55,107 - gmail_import - INFO - Fetched 500 messages, total: 31500
2025-03-17 17:50:55,861 - gmail_import - INFO - Fetched 500 messages, total: 32000
2025-03-17 17:50:56,641 - gmail_import - INFO - Fetched 500 messages, total: 32500
2025-03-17 17:50:57,392 - gmail_import - INFO - Fetched 500 messages, total: 33000
2025-03-17 17:50:58,156 - gmail_import - INFO - Fetched 500 messages, total: 33500
2025-03-17 17:50:58,916 - gmail_import - INFO - Fetched 500 messages, total: 34000
2025-03-17 17:50:59,700 - gmail_import - INFO - Fetched 500 messages, total: 34500
2025-03-17 17:51:00,467 - gmail_import - INFO - Fetched 500 messages, total: 35000
2025-03-17 17:51:01,239 - gmail_import - INFO - Fetched 500 messages, total: 35500
2025-03-17 17:51:02,006 - gmail_import - INFO - Fetched 500 messages, total: 36000
2025-03-17 17:51:02,775 - gmail_import - INFO - Fetched 500 messages, total: 36500
2025-03-17 17:51:03,689 - gmail_import - INFO - Fetched 500 messages, total: 37000
2025-03-17 17:51:04,486 - gmail_import - INFO - Fetched 500 messages, total: 37500
2025-03-17 17:51:05,238 - gmail_import - INFO - Fetched 500 messages, total: 38000
2025-03-17 17:51:06,009 - gmail_import - INFO - Fetched 500 messages, total: 38500
2025-03-17 17:51:06,797 - gmail_import - INFO - Fetched 500 messages, total: 39000
2025-03-17 17:51:07,567 - gmail_import - INFO - Fetched 500 messages, total: 39500
2025-03-17 17:51:08,325 - gmail_import - INFO - Fetched 500 messages, total: 40000
2025-03-17 17:51:09,105 - gmail_import - INFO - Fetched 500 messages, total: 40500
2025-03-17 17:51:09,885 - gmail_import - INFO - Fetched 500 messages, total: 41000
2025-03-17 17:51:10,652 - gmail_import - INFO - Fetched 500 messages, total: 41500
