2025-03-17 17:45:02,743 - gmail_import - INFO - Connecting to MotherDuck database: md:dewey
2025-03-17 17:45:03,712 - gmail_import - INFO - Successfully connected to MotherDuck
2025-03-17 17:45:04,479 - gmail_import - WARNING - Failed to create index: Binder Error: Table "email_analyses" does not have a column named "thread_id"

Candidate bindings: : "id"
2025-03-17 17:45:04,905 - gmail_import - WARNING - Failed to create index: Binder Error: Table "email_analyses" does not have a column named "internal_date"

Candidate bindings: : "analysis_date"
2025-03-17 17:45:05,152 - gmail_import - WARNING - Failed to create index: Binder Error: Table "email_analyses" does not have a column named "status"

Candidate bindings: : "id"
2025-03-17 17:45:05,430 - gmail_import - WARNING - Failed to create index: Binder Error: Table "email_analyses" does not have a column named "batch_id"

Candidate bindings: : "id"
2025-03-17 17:45:05,677 - gmail_import - WARNING - Failed to create index: Binder Error: Table "email_analyses" does not have a column named "import_timestamp"

Candidate bindings: : "scores"
2025-03-17 17:45:05,677 - gmail_import - INFO - Connected to database at md:dewey
2025-03-17 17:45:05,677 - gmail_import - INFO - Using token from /Users/srvo/dewey/token.json
2025-03-17 17:45:05,683 - gmail_import - INFO - Refreshing expired credentials
2025-03-17 17:45:05,923 - gmail_import - INFO - Importing all historical emails
2025-03-17 17:45:05,923 - gmail_import - INFO - Including sent emails
2025-03-17 17:45:06,263 - gmail_import - INFO - Fetched 500 messages, total: 500
2025-03-17 17:45:07,034 - gmail_import - INFO - Fetched 500 messages, total: 1000
2025-03-17 17:45:07,821 - gmail_import - INFO - Fetched 500 messages, total: 1500
2025-03-17 17:45:08,589 - gmail_import - INFO - Fetched 500 messages, total: 2000
2025-03-17 17:45:09,385 - gmail_import - INFO - Fetched 500 messages, total: 2500
2025-03-17 17:45:10,175 - gmail_import - INFO - Fetched 500 messages, total: 3000
2025-03-17 17:45:10,960 - gmail_import - INFO - Fetched 500 messages, total: 3500
2025-03-17 17:45:11,721 - gmail_import - INFO - Fetched 500 messages, total: 4000
2025-03-17 17:45:12,504 - gmail_import - INFO - Fetched 500 messages, total: 4500
2025-03-17 17:45:13,252 - gmail_import - INFO - Fetched 500 messages, total: 5000
2025-03-17 17:45:14,072 - gmail_import - INFO - Fetched 500 messages, total: 5500
2025-03-17 17:45:14,867 - gmail_import - INFO - Fetched 500 messages, total: 6000
2025-03-17 17:45:15,642 - gmail_import - INFO - Fetched 500 messages, total: 6500
2025-03-17 17:45:16,408 - gmail_import - INFO - Fetched 500 messages, total: 7000
2025-03-17 17:45:17,188 - gmail_import - INFO - Fetched 500 messages, total: 7500
2025-03-17 17:45:17,976 - gmail_import - INFO - Fetched 500 messages, total: 8000
2025-03-17 17:45:18,773 - gmail_import - INFO - Fetched 500 messages, total: 8500
2025-03-17 17:45:19,543 - gmail_import - INFO - Fetched 500 messages, total: 9000
2025-03-17 17:45:20,304 - gmail_import - INFO - Fetched 500 messages, total: 9500
2025-03-17 17:45:21,096 - gmail_import - INFO - Fetched 500 messages, total: 10000
2025-03-17 17:45:21,890 - gmail_import - INFO - Fetched 500 messages, total: 10500
2025-03-17 17:45:22,620 - gmail_import - INFO - Fetched 500 messages, total: 11000
2025-03-17 17:45:23,399 - gmail_import - INFO - Fetched 500 messages, total: 11500
2025-03-17 17:45:24,181 - gmail_import - INFO - Fetched 500 messages, total: 12000
2025-03-17 17:45:25,094 - gmail_import - INFO - Fetched 500 messages, total: 12500
2025-03-17 17:45:25,905 - gmail_import - INFO - Fetched 500 messages, total: 13000
2025-03-17 17:45:26,661 - gmail_import - INFO - Fetched 500 messages, total: 13500
2025-03-17 17:45:27,456 - gmail_import - INFO - Fetched 500 messages, total: 14000
2025-03-17 17:45:28,241 - gmail_import - INFO - Fetched 500 messages, total: 14500
2025-03-17 17:45:29,020 - gmail_import - INFO - Fetched 500 messages, total: 15000
2025-03-17 17:45:29,808 - gmail_import - INFO - Fetched 500 messages, total: 15500
2025-03-17 17:45:30,580 - gmail_import - INFO - Fetched 500 messages, total: 16000
2025-03-17 17:45:31,350 - gmail_import - INFO - Fetched 500 messages, total: 16500
2025-03-17 17:45:32,145 - gmail_import - INFO - Fetched 500 messages, total: 17000
2025-03-17 17:45:32,892 - gmail_import - INFO - Fetched 500 messages, total: 17500
2025-03-17 17:45:33,652 - gmail_import - INFO - Fetched 500 messages, total: 18000
2025-03-17 17:45:34,425 - gmail_import - INFO - Fetched 500 messages, total: 18500
2025-03-17 17:45:35,187 - gmail_import - INFO - Fetched 500 messages, total: 19000
2025-03-17 17:45:35,975 - gmail_import - INFO - Fetched 500 messages, total: 19500
2025-03-17 17:45:36,778 - gmail_import - INFO - Fetched 500 messages, total: 20000
2025-03-17 17:45:37,579 - gmail_import - INFO - Fetched 500 messages, total: 20500
2025-03-17 17:45:38,350 - gmail_import - INFO - Fetched 500 messages, total: 21000
2025-03-17 17:45:39,117 - gmail_import - INFO - Fetched 500 messages, total: 21500
2025-03-17 17:45:39,907 - gmail_import - INFO - Fetched 500 messages, total: 22000
2025-03-17 17:45:40,641 - gmail_import - INFO - Fetched 500 messages, total: 22500
2025-03-17 17:45:41,410 - gmail_import - INFO - Fetched 500 messages, total: 23000
2025-03-17 17:45:42,189 - gmail_import - INFO - Fetched 500 messages, total: 23500
2025-03-17 17:45:42,946 - gmail_import - INFO - Fetched 500 messages, total: 24000
2025-03-17 17:45:43,692 - gmail_import - INFO - Fetched 500 messages, total: 24500
2025-03-17 17:45:44,485 - gmail_import - INFO - Fetched 500 messages, total: 25000
2025-03-17 17:45:45,254 - gmail_import - INFO - Fetched 500 messages, total: 25500
2025-03-17 17:45:46,025 - gmail_import - INFO - Fetched 500 messages, total: 26000
2025-03-17 17:45:46,759 - gmail_import - INFO - Fetched 500 messages, total: 26500
2025-03-17 17:45:47,512 - gmail_import - INFO - Fetched 500 messages, total: 27000
2025-03-17 17:45:48,267 - gmail_import - INFO - Fetched 500 messages, total: 27500
2025-03-17 17:45:49,038 - gmail_import - INFO - Fetched 500 messages, total: 28000
2025-03-17 17:45:49,790 - gmail_import - INFO - Fetched 500 messages, total: 28500
2025-03-17 17:45:50,551 - gmail_import - INFO - Fetched 500 messages, total: 29000
2025-03-17 17:45:51,306 - gmail_import - INFO - Fetched 500 messages, total: 29500
2025-03-17 17:45:52,091 - gmail_import - INFO - Fetched 500 messages, total: 30000
2025-03-17 17:45:52,842 - gmail_import - INFO - Fetched 500 messages, total: 30500
2025-03-17 17:45:53,599 - gmail_import - INFO - Fetched 500 messages, total: 31000
2025-03-17 17:45:54,342 - gmail_import - INFO - Fetched 500 messages, total: 31500
2025-03-17 17:45:55,107 - gmail_import - INFO - Fetched 500 messages, total: 32000
2025-03-17 17:45:55,862 - gmail_import - INFO - Fetched 500 messages, total: 32500
2025-03-17 17:45:56,641 - gmail_import - INFO - Fetched 500 messages, total: 33000
2025-03-17 17:45:57,421 - gmail_import - INFO - Fetched 500 messages, total: 33500
2025-03-17 17:45:58,203 - gmail_import - INFO - Fetched 500 messages, total: 34000
2025-03-17 17:45:58,981 - gmail_import - INFO - Fetched 500 messages, total: 34500
2025-03-17 17:45:59,754 - gmail_import - INFO - Fetched 500 messages, total: 35000
2025-03-17 17:46:00,503 - gmail_import - INFO - Fetched 500 messages, total: 35500
2025-03-17 17:46:01,269 - gmail_import - INFO - Fetched 500 messages, total: 36000
2025-03-17 17:46:02,011 - gmail_import - INFO - Fetched 500 messages, total: 36500
2025-03-17 17:46:02,773 - gmail_import - INFO - Fetched 500 messages, total: 37000
2025-03-17 17:46:03,518 - gmail_import - INFO - Fetched 500 messages, total: 37500
2025-03-17 17:46:04,267 - gmail_import - INFO - Fetched 500 messages, total: 38000
2025-03-17 17:46:05,026 - gmail_import - INFO - Fetched 500 messages, total: 38500
2025-03-17 17:46:05,787 - gmail_import - INFO - Fetched 500 messages, total: 39000
2025-03-17 17:46:06,580 - gmail_import - INFO - Fetched 500 messages, total: 39500
2025-03-17 17:46:07,361 - gmail_import - INFO - Fetched 500 messages, total: 40000
2025-03-17 17:46:08,124 - gmail_import - INFO - Fetched 500 messages, total: 40500
